epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,258.78,1.30285,3.07192,1.23079,0.68909,0.6775,0.72815,0.44625,1.25586,2.79472,1.24708,0.009988,0.00332933,0.009988,0.00332933,0.009988,0.00332933,0.009988,0.00332933
2,431.905,1.35221,1.9299,1.25806,0.70672,0.65362,0.71443,0.45067,1.29788,1.92429,1.31766,0.0197901,0.0065967,0.0197901,0.0065967,0.0197901,0.0065967,0.0197901,0.0065967
3,584.808,1.46406,1.65497,1.32989,0.69233,0.654,0.70668,0.40991,1.46825,1.68857,1.433,0.0293942,0.00979808,0.0293942,0.00979808,0.0293942,0.00979808,0.0293942,0.00979808
4,738.021,1.51875,1.59277,1.37709,0.78753,0.69918,0.78095,0.47351,1.42709,1.28326,1.43249,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,891.384,1.46857,1.44197,1.35795,0.79728,0.74218,0.81618,0.51723,1.31222,1.07095,1.34419,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1042.67,1.44776,1.31562,1.33011,0.82706,0.76076,0.84309,0.55294,1.24971,0.9783,1.30718,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1199.63,1.39931,1.24165,1.30204,0.87179,0.78405,0.86715,0.56974,1.22002,0.8781,1.25138,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1351.05,1.37969,1.18076,1.2977,0.87663,0.79048,0.8788,0.58058,1.20887,0.80738,1.25454,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1506.63,1.35104,1.14752,1.28245,0.87571,0.81817,0.89093,0.60519,1.17644,0.78302,1.24515,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1660.55,1.34118,1.08686,1.26519,0.88005,0.822,0.89666,0.61362,1.14973,0.75534,1.21422,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1813.97,1.31775,1.07574,1.26071,0.88846,0.82097,0.89917,0.62804,1.10579,0.72917,1.19874,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1971.14,1.30674,1.03697,1.23978,0.89014,0.84102,0.91068,0.63974,1.09823,0.68658,1.17252,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2124.66,1.29254,1.01815,1.23637,0.8962,0.83348,0.90835,0.64016,1.09735,0.67298,1.17573,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2278.28,1.2673,0.97311,1.224,0.88152,0.84885,0.91468,0.6499,1.08775,0.66376,1.17748,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2434.03,1.25582,0.95685,1.21811,0.90353,0.84256,0.91657,0.65836,1.04424,0.62804,1.14501,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2590.28,1.24161,0.936,1.20694,0.91138,0.84975,0.92094,0.65883,1.04144,0.60874,1.13767,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2753.78,1.24334,0.92507,1.21367,0.90547,0.85901,0.92583,0.6663,1.02956,0.60292,1.13128,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
